Compound,Date,Negative,Neutral,News_Cast,Positive,Tweets Ago
0.0,2018-06-09 20:04:00+00:00,1.0,0.0,@BBC,0.0,1
0.3612,2018-06-09 19:02:05+00:00,0.878,0.0,@BBC,0.122,2
0.0,2018-06-09 18:04:03+00:00,1.0,0.0,@BBC,0.0,3
0.5719,2018-06-09 17:01:05+00:00,0.829,0.0,@BBC,0.171,4
0.4019,2018-06-09 16:04:03+00:00,0.623,0.156,@BBC,0.222,5
-0.7783,2018-06-09 15:02:02+00:00,0.673,0.327,@BBC,0.0,6
0.7717,2018-06-09 14:04:02+00:00,0.472,0.0,@BBC,0.528,7
0.3612,2018-06-09 13:24:03+00:00,0.815,0.0,@BBC,0.185,8
0.0,2018-06-09 13:03:06+00:00,1.0,0.0,@BBC,0.0,9
0.0,2018-06-09 12:23:25+00:00,1.0,0.0,@BBC,0.0,10
0.9317,2018-06-09 12:03:00+00:00,0.441,0.0,@BBC,0.559,11
0.0,2018-06-09 11:10:52+00:00,1.0,0.0,@BBC,0.0,12
-0.7269,2018-06-09 11:04:08+00:00,0.588,0.305,@BBC,0.106,13
0.0,2018-06-09 10:10:06+00:00,1.0,0.0,@BBC,0.0,14
-0.6808,2018-06-09 10:09:40+00:00,0.73,0.219,@BBC,0.051,15
0.8658,2018-06-09 08:55:42+00:00,0.7,0.0,@BBC,0.3,16
0.6239,2018-06-09 08:54:21+00:00,0.806,0.0,@BBC,0.194,17
0.0,2018-06-09 08:53:14+00:00,1.0,0.0,@BBC,0.0,18
0.7579,2018-06-09 08:52:54+00:00,0.787,0.0,@BBC,0.213,19
0.8122,2018-06-09 08:52:46+00:00,0.697,0.0,@BBC,0.303,20
0.5859,2018-06-09 08:52:33+00:00,0.853,0.0,@BBC,0.147,21
0.0,2018-06-09 08:50:01+00:00,1.0,0.0,@BBC,0.0,22
0.4215,2018-06-09 08:32:05+00:00,0.877,0.0,@BBC,0.123,23
0.7783,2018-06-09 07:28:04+00:00,0.51,0.097,@BBC,0.393,24
0.0,2018-06-08 20:04:03+00:00,1.0,0.0,@BBC,0.0,25
0.7809,2018-06-08 18:09:05+00:00,0.617,0.0,@BBC,0.383,26
0.5574,2018-06-08 17:03:04+00:00,0.841,0.0,@BBC,0.159,27
0.0,2018-06-08 16:02:00+00:00,1.0,0.0,@BBC,0.0,28
0.4019,2018-06-08 13:03:05+00:00,0.829,0.0,@BBC,0.171,29
0.784,2018-06-08 12:28:10+00:00,0.734,0.0,@BBC,0.266,30
0.34,2018-06-08 12:24:37+00:00,0.854,0.0,@BBC,0.146,31
-0.8126,2018-06-08 12:19:25+00:00,0.73,0.27,@BBC,0.0,32
0.0,2018-06-08 12:04:03+00:00,1.0,0.0,@BBC,0.0,33
-0.2263,2018-06-08 11:03:04+00:00,0.894,0.106,@BBC,0.0,34
0.2023,2018-06-08 10:52:51+00:00,0.927,0.0,@BBC,0.073,35
0.0,2018-06-08 10:50:03+00:00,1.0,0.0,@BBC,0.0,36
-0.3089,2018-06-08 09:01:04+00:00,0.83,0.17,@BBC,0.0,37
0.4404,2018-06-08 08:46:14+00:00,0.861,0.0,@BBC,0.139,38
0.5413,2018-06-08 08:01:07+00:00,0.741,0.0,@BBC,0.259,39
-0.1603,2018-06-08 07:29:05+00:00,0.925,0.075,@BBC,0.0,40
0.0,2018-06-08 07:00:18+00:00,1.0,0.0,@BBC,0.0,41
-0.3612,2018-06-07 19:04:09+00:00,0.857,0.143,@BBC,0.0,42
0.0,2018-06-07 18:00:21+00:00,1.0,0.0,@BBC,0.0,43
0.7964,2018-06-07 16:02:03+00:00,0.53,0.0,@BBC,0.47,44
0.4404,2018-06-07 15:36:48+00:00,0.892,0.0,@BBC,0.108,45
0.8043,2018-06-07 15:32:24+00:00,0.544,0.086,@BBC,0.369,46
-0.7906,2018-06-07 14:04:02+00:00,0.741,0.259,@BBC,0.0,47
-0.4588,2018-06-07 13:00:43+00:00,0.862,0.138,@BBC,0.0,48
0.2263,2018-06-07 13:00:26+00:00,0.921,0.0,@BBC,0.079,49
-0.5574,2018-06-07 12:01:05+00:00,0.659,0.242,@BBC,0.099,50
0.6531,2018-06-07 11:46:22+00:00,0.733,0.052,@BBC,0.215,51
0.7003,2018-06-07 11:01:05+00:00,0.784,0.0,@BBC,0.216,52
0.0,2018-06-07 09:37:40+00:00,1.0,0.0,@BBC,0.0,53
0.3612,2018-06-07 08:01:03+00:00,0.828,0.0,@BBC,0.172,54
0.3182,2018-06-07 07:28:01+00:00,0.892,0.0,@BBC,0.108,55
0.5106,2018-06-07 07:01:05+00:00,0.732,0.0,@BBC,0.268,56
0.0,2018-06-06 20:44:01+00:00,1.0,0.0,@BBC,0.0,57
0.3818,2018-06-06 20:04:00+00:00,0.86,0.0,@BBC,0.14,58
0.0,2018-06-06 19:03:03+00:00,1.0,0.0,@BBC,0.0,59
0.1779,2018-06-06 18:03:04+00:00,0.718,0.122,@BBC,0.16,60
0.0,2018-06-06 17:02:09+00:00,1.0,0.0,@BBC,0.0,61
0.0,2018-06-06 16:00:01+00:00,1.0,0.0,@BBC,0.0,62
0.3182,2018-06-06 13:02:05+00:00,0.892,0.0,@BBC,0.108,63
-0.5574,2018-06-06 12:21:20+00:00,0.847,0.153,@BBC,0.0,64
-0.6523,2018-06-06 12:03:06+00:00,0.764,0.236,@BBC,0.0,65
0.0,2018-06-06 11:02:02+00:00,1.0,0.0,@BBC,0.0,66
0.0,2018-06-06 10:01:40+00:00,1.0,0.0,@BBC,0.0,67
0.4215,2018-06-06 08:55:39+00:00,0.833,0.0,@BBC,0.167,68
0.0,2018-06-06 08:55:07+00:00,1.0,0.0,@BBC,0.0,69
0.2732,2018-06-06 08:02:01+00:00,0.698,0.126,@BBC,0.177,70
-0.7579,2018-06-06 07:31:01+00:00,0.667,0.281,@BBC,0.053,71
0.0,2018-06-06 07:04:04+00:00,1.0,0.0,@BBC,0.0,72
-0.4019,2018-06-05 19:25:03+00:00,0.863,0.137,@BBC,0.0,73
-0.7184,2018-06-05 19:02:05+00:00,0.727,0.273,@BBC,0.0,74
0.0,2018-06-05 18:02:06+00:00,1.0,0.0,@BBC,0.0,75
0.8221,2018-06-05 16:50:46+00:00,0.719,0.0,@BBC,0.281,76
-0.8126,2018-06-05 16:31:52+00:00,0.73,0.27,@BBC,0.0,77
-0.1531,2018-06-05 16:00:22+00:00,0.814,0.11,@BBC,0.076,78
0.6369,2018-06-05 13:01:07+00:00,0.84,0.0,@BBC,0.16,79
0.8122,2018-06-05 12:00:22+00:00,0.519,0.09,@BBC,0.391,80
0.4019,2018-06-05 11:12:05+00:00,0.863,0.0,@BBC,0.137,81
0.0,2018-06-05 11:00:07+00:00,1.0,0.0,@BBC,0.0,82
0.0,2018-06-05 10:45:52+00:00,1.0,0.0,@BBC,0.0,83
0.7096,2018-06-05 10:34:07+00:00,0.763,0.0,@BBC,0.237,84
0.7506,2018-06-05 10:31:20+00:00,0.758,0.0,@BBC,0.242,85
0.0,2018-06-05 10:21:33+00:00,1.0,0.0,@BBC,0.0,86
0.0,2018-06-05 09:34:23+00:00,1.0,0.0,@BBC,0.0,87
0.0,2018-06-05 08:01:03+00:00,1.0,0.0,@BBC,0.0,88
-0.5719,2018-06-05 07:29:04+00:00,0.764,0.236,@BBC,0.0,89
-0.296,2018-06-05 07:00:11+00:00,0.845,0.155,@BBC,0.0,90
-0.5707,2018-06-04 19:03:02+00:00,0.822,0.178,@BBC,0.0,91
-0.4767,2018-06-04 18:31:05+00:00,0.829,0.171,@BBC,0.0,92
-0.5859,2018-06-04 18:02:05+00:00,0.769,0.231,@BBC,0.0,93
0.0,2018-06-04 17:01:13+00:00,1.0,0.0,@BBC,0.0,94
0.0,2018-06-04 16:01:04+00:00,1.0,0.0,@BBC,0.0,95
-0.4215,2018-06-04 13:03:05+00:00,0.865,0.135,@BBC,0.0,96
0.5411,2018-06-04 12:34:04+00:00,0.83,0.0,@BBC,0.17,97
0.6369,2018-06-04 12:01:05+00:00,0.755,0.0,@BBC,0.245,98
0.0,2018-06-04 11:05:00+00:00,1.0,0.0,@BBC,0.0,99
0.9183,2018-06-04 10:18:03+00:00,0.578,0.048,@BBC,0.374,100
0.68,2018-06-09 21:00:02+00:00,0.763,0.0,@CBS,0.237,101
0.0,2018-06-09 16:00:00+00:00,1.0,0.0,@CBS,0.0,102
0.296,2018-06-08 19:46:17+00:00,0.82,0.0,@CBS,0.18,103
0.0,2018-06-08 15:00:03+00:00,1.0,0.0,@CBS,0.0,104
0.9078,2018-06-08 13:58:15+00:00,0.564,0.0,@CBS,0.436,105
0.3612,2018-06-07 17:03:26+00:00,0.872,0.0,@CBS,0.128,106
0.2732,2018-06-06 21:00:24+00:00,0.719,0.105,@CBS,0.176,107
0.3595,2018-06-06 00:08:30+00:00,0.872,0.0,@CBS,0.128,108
-0.4404,2018-06-05 22:23:35+00:00,0.723,0.177,@CBS,0.1,109
0.4574,2018-06-05 22:12:28+00:00,0.824,0.0,@CBS,0.176,110
0.5093,2018-06-05 19:00:02+00:00,0.845,0.0,@CBS,0.155,111
0.0,2018-06-05 15:04:41+00:00,1.0,0.0,@CBS,0.0,112
0.0,2018-06-04 17:00:00+00:00,1.0,0.0,@CBS,0.0,113
-0.3903,2018-06-01 17:39:17+00:00,0.807,0.131,@CBS,0.062,114
0.8442,2018-06-01 17:00:03+00:00,0.664,0.0,@CBS,0.336,115
0.8932,2018-05-31 23:50:00+00:00,0.545,0.0,@CBS,0.455,116
0.4926,2018-05-30 15:07:34+00:00,0.849,0.0,@CBS,0.151,117
0.0,2018-05-28 21:00:01+00:00,1.0,0.0,@CBS,0.0,118
0.0,2018-05-28 02:08:19+00:00,1.0,0.0,@CBS,0.0,119
0.6239,2018-05-23 23:07:38+00:00,0.797,0.0,@CBS,0.203,120
0.5859,2018-05-23 19:02:43+00:00,0.826,0.0,@CBS,0.174,121
0.1139,2018-05-22 23:19:40+00:00,0.917,0.0,@CBS,0.083,122
0.0,2018-05-22 20:02:22+00:00,1.0,0.0,@CBS,0.0,123
0.0,2018-05-21 23:00:01+00:00,1.0,0.0,@CBS,0.0,124
0.3382,2018-05-20 20:00:00+00:00,0.808,0.061,@CBS,0.131,125
0.1867,2018-05-20 17:00:01+00:00,0.92,0.0,@CBS,0.08,126
0.4199,2018-05-19 08:00:01+00:00,0.715,0.0,@CBS,0.285,127
0.0,2018-05-18 21:00:01+00:00,1.0,0.0,@CBS,0.0,128
0.3595,2018-05-18 14:00:03+00:00,0.849,0.0,@CBS,0.151,129
0.7177,2018-05-17 23:44:27+00:00,0.739,0.0,@CBS,0.261,130
0.1867,2018-05-17 21:19:59+00:00,0.907,0.0,@CBS,0.093,131
0.0,2018-05-17 19:12:51+00:00,1.0,0.0,@CBS,0.0,132
0.5562,2018-05-17 13:00:00+00:00,0.854,0.0,@CBS,0.146,133
0.75,2018-05-17 00:00:00+00:00,0.758,0.0,@CBS,0.242,134
0.5574,2018-05-16 22:56:24+00:00,0.841,0.0,@CBS,0.159,135
0.3802,2018-05-16 22:56:24+00:00,0.89,0.0,@CBS,0.11,136
0.34,2018-05-16 22:56:23+00:00,0.888,0.0,@CBS,0.112,137
0.5859,2018-05-16 22:56:23+00:00,0.826,0.0,@CBS,0.174,138
0.8398,2018-05-16 22:56:23+00:00,0.6,0.0,@CBS,0.4,139
-0.4588,2018-05-16 22:56:23+00:00,0.577,0.26,@CBS,0.163,140
0.0,2018-05-16 22:56:22+00:00,1.0,0.0,@CBS,0.0,141
0.7777,2018-05-16 21:46:07+00:00,0.772,0.0,@CBS,0.228,142
0.296,2018-05-16 18:05:27+00:00,0.905,0.0,@CBS,0.095,143
0.6369,2018-05-16 13:52:57+00:00,0.766,0.0,@CBS,0.234,144
0.46,2018-05-16 13:24:14+00:00,0.857,0.0,@CBS,0.143,145
0.8122,2018-05-16 13:23:26+00:00,0.67,0.0,@CBS,0.33,146
-0.2057,2018-05-15 20:16:38+00:00,0.821,0.109,@CBS,0.07,147
0.4199,2018-05-14 20:59:11+00:00,0.859,0.0,@CBS,0.141,148
0.0,2018-05-14 18:17:23+00:00,1.0,0.0,@CBS,0.0,149
0.4939,2018-05-14 18:16:12+00:00,0.856,0.0,@CBS,0.144,150
-0.3612,2018-05-14 18:15:36+00:00,0.878,0.122,@CBS,0.0,151
0.6476,2018-05-14 18:15:08+00:00,0.674,0.082,@CBS,0.243,152
0.9081,2018-05-14 18:14:46+00:00,0.592,0.0,@CBS,0.408,153
-0.762,2018-05-14 18:14:22+00:00,0.586,0.303,@CBS,0.111,154
0.3612,2018-05-14 18:13:58+00:00,0.8,0.0,@CBS,0.2,155
-0.34,2018-05-14 14:42:00+00:00,0.604,0.264,@CBS,0.132,156
0.7351,2018-05-13 13:16:14+00:00,0.733,0.0,@CBS,0.267,157
0.7245,2018-05-11 23:00:40+00:00,0.748,0.0,@CBS,0.252,158
0.128,2018-05-11 20:55:08+00:00,0.791,0.09,@CBS,0.119,159
0.7263,2018-05-10 23:11:17+00:00,0.747,0.0,@CBS,0.253,160
-0.0772,2018-05-10 19:24:10+00:00,0.847,0.085,@CBS,0.069,161
0.6588,2018-05-10 18:03:26+00:00,0.722,0.0,@CBS,0.278,162
0.3182,2018-05-10 15:30:40+00:00,0.905,0.0,@CBS,0.095,163
0.8176,2018-05-09 21:35:00+00:00,0.667,0.0,@CBS,0.333,164
0.8395,2018-05-09 19:36:24+00:00,0.609,0.0,@CBS,0.391,165
-0.4599,2018-05-08 22:26:55+00:00,0.8,0.2,@CBS,0.0,166
0.4574,2018-05-08 19:55:32+00:00,0.85,0.0,@CBS,0.15,167
0.6597,2018-05-08 17:18:20+00:00,0.683,0.075,@CBS,0.242,168
0.0,2018-05-07 17:50:20+00:00,1.0,0.0,@CBS,0.0,169
0.5093,2018-05-04 21:00:00+00:00,0.87,0.0,@CBS,0.13,170
0.6996,2018-05-04 18:42:12+00:00,0.775,0.0,@CBS,0.225,171
0.5562,2018-05-04 14:48:42+00:00,0.736,0.0,@CBS,0.264,172
0.0,2018-05-02 19:04:01+00:00,1.0,0.0,@CBS,0.0,173
0.0,2018-05-01 23:10:50+00:00,1.0,0.0,@CBS,0.0,174
0.0,2018-05-01 17:58:51+00:00,1.0,0.0,@CBS,0.0,175
0.8268,2018-05-01 15:16:28+00:00,0.701,0.0,@CBS,0.299,176
0.8777,2018-04-30 22:54:18+00:00,0.627,0.0,@CBS,0.373,177
0.0,2018-04-30 13:28:01+00:00,1.0,0.0,@CBS,0.0,178
0.3818,2018-04-30 02:22:08+00:00,0.86,0.0,@CBS,0.14,179
0.8356,2018-04-29 15:30:00+00:00,0.67,0.0,@CBS,0.33,180
0.0,2018-04-26 23:40:24+00:00,1.0,0.0,@CBS,0.0,181
0.75,2018-04-25 21:48:49+00:00,0.687,0.0,@CBS,0.313,182
0.5719,2018-04-25 18:09:50+00:00,0.837,0.0,@CBS,0.163,183
0.6239,2018-04-25 16:55:33+00:00,0.779,0.0,@CBS,0.221,184
0.6696,2018-04-23 21:03:22+00:00,0.776,0.0,@CBS,0.224,185
0.4019,2018-04-22 16:00:03+00:00,0.863,0.0,@CBS,0.137,186
-0.4019,2018-04-20 22:00:01+00:00,0.895,0.105,@CBS,0.0,187
0.0,2018-04-20 17:34:37+00:00,1.0,0.0,@CBS,0.0,188
0.0,2018-04-19 20:00:00+00:00,1.0,0.0,@CBS,0.0,189
0.4877,2018-04-19 19:00:02+00:00,0.826,0.0,@CBS,0.174,190
0.4939,2018-04-19 17:08:44+00:00,0.868,0.0,@CBS,0.132,191
0.4199,2018-04-18 21:00:01+00:00,0.872,0.0,@CBS,0.128,192
0.8539,2018-04-18 18:57:45+00:00,0.645,0.0,@CBS,0.355,193
0.5994,2018-04-18 17:00:03+00:00,0.804,0.0,@CBS,0.196,194
0.2284,2018-04-18 15:14:39+00:00,0.718,0.122,@CBS,0.16,195
0.0,2018-04-18 15:10:34+00:00,1.0,0.0,@CBS,0.0,196
0.0,2018-04-17 00:26:33+00:00,1.0,0.0,@CBS,0.0,197
0.0,2018-04-16 23:00:02+00:00,1.0,0.0,@CBS,0.0,198
0.0,2018-04-16 17:00:04+00:00,1.0,0.0,@CBS,0.0,199
0.2714,2018-04-16 16:02:49+00:00,0.806,0.071,@CBS,0.123,200
0.0,2018-06-10 00:30:08+00:00,1.0,0.0,@CNN,0.0,201
-0.6901,2018-06-10 00:03:12+00:00,0.738,0.262,@CNN,0.0,202
0.6124,2018-06-10 00:00:04+00:00,0.762,0.0,@CNN,0.238,203
-0.5994,2018-06-09 23:30:13+00:00,0.849,0.151,@CNN,0.0,204
-0.296,2018-06-09 23:00:05+00:00,0.824,0.176,@CNN,0.0,205
0.8176,2018-06-09 22:58:33+00:00,0.681,0.0,@CNN,0.319,206
0.765,2018-06-09 22:30:05+00:00,0.526,0.145,@CNN,0.329,207
